geometry,start_time,search_time,add_service_time,add_census_time
POINT (-89.50207624445218 43.02780525486136),0:0:00,0.005477720027347263,0.003079652786254883,0.004307985305786133
POINT (-89.46823276490798 43.11526396186201),0:0:00,0.0049334104112583954,0.0030770301818847656,0.004351139068603516
POINT (-89.46578624666864 43.06367394364835),0:0:00,0.005168014293094333,0.0030927658081054688,0.004414081573486328
POINT (-89.45696340272885 43.06565306520614),0:0:00,0.004985385661502536,0.0030753612518310547,0.004447221755981445
POINT (-89.45731337473472 43.07235891527558),0:0:00,0.004951053386111911,0.003061532974243164,0.004624605178833008
POINT (-89.45603480943404 43.02774313840373),0:0:00,0.005001836543460544,0.003101348876953125,0.004522085189819336
POINT (-89.44199540455509 43.07266129338382),0:0:00,0.00520568442859238,0.003059864044189453,0.004569530487060547
POINT (-89.44166417510409 43.04080051448148),0:0:00,0.00503783774890488,0.003072977066040039,0.0045490264892578125
POINT (-89.45278889552021 43.12652408166846),0:0:00,0.004733138804813083,0.003148794174194336,0.004700660705566406
POINT (-89.42555809446567 43.07107211184817),0:0:00,0.004967981105228122,0.003105640411376953,0.004654884338378906
POINT (-89.42180818198969 43.02193528334637),0:0:00,0.004703336482425388,0.0030775070190429688,0.004745006561279297
POINT (-89.39833081168915 43.07148389892271),0:0:00,0.004714065318484958,0.003143787384033203,0.004740476608276367
POINT (-89.39890061684038 43.05335507736343),0:0:00,0.0050097043565708954,0.0031130313873291016,0.004923105239868164
POINT (-89.40012667357358 43.03665725003005),0:0:00,0.004891210322757419,0.0030634403228759766,0.004870176315307617
POINT (-89.39804650737217 43.06908767210636),0:0:00,0.004739814525027927,0.003081798553466797,0.0049285888671875
POINT (-89.38925834943618 43.06682952270258),0:0:00,0.0049188668779332,0.0031049251556396484,0.004933834075927734
POINT (-89.39226697487859 42.92756480537065),0:0:00,0.004707151179691013,0.0030574798583984375,0.005261421203613281
POINT (-89.37795762035303 43.14434995951947),0:0:00,0.004983955150027927,0.003073453903198242,0.00500035285949707
POINT (-89.35718237502103 43.04668795833953),0:0:00,0.004985385661502536,0.003079652786254883,0.005113840103149414
POINT (-89.3427983882771 43.03755898778324),0:0:00,0.004709296946902927,0.0031049251556396484,0.005357980728149414
POINT (-89.3170126695222 43.05322661426796),0:0:00,0.0047922666124302704,0.0030755996704101562,0.005310535430908203
POINT (-89.31726112524778 43.13948294916413),0:0:00,0.005006128077884372,0.003068208694458008,0.00522160530090332
POINT (-89.35055913538143 43.00654251529131),0:0:00,0.004793458705325778,0.0031375885009765625,0.005414724349975586
POINT (-89.29653902981893 43.18121756910757),0:0:00,0.005110078578372653,0.0030670166015625,0.005405426025390625
POINT (-89.21924583475059 43.19096516096027),0:0:00,0.005210452800174411,0.003048419952392578,0.005497455596923828
POINT (-89.18338179418139 43.19401358478809),0:0:00,0.0052216584733921845,0.003111600875854492,0.005403041839599609
POINT (-89.66545947647278 43.0692317980186),0:0:00,0.005120092158694919,0.002998828887939453,0.005611419677734375
POINT (-89.50385896745998 43.10017220504565),0:0:00,0.005032115703006442,0.0030226707458496094,0.00531768798828125
POINT (-89.49655265765308 43.12050672246486),0:0:00,0.005055242305179294,0.0030870437622070312,0.005377531051635742
POINT (-89.51503601894407 42.89360464774795),0:0:00,0.004968457942386325,0.003001689910888672,0.005520820617675781
POINT (-89.49448052544139 43.06425777495665),0:0:00,0.0049202973894078095,0.002989530563354492,0.005399942398071289
POINT (-89.49134126446516 43.01937438832276),0:0:00,0.0049813325456578095,0.0031621456146240234,0.005452394485473633
POINT (-89.50058140852194 42.97279354608651),0:0:00,0.00486546111621445,0.003025531768798828,0.005476474761962891
POINT (-89.49200890277798 43.08095107823268),0:0:00,0.0050309236101109345,0.003009319305419922,0.00563812255859375
POINT (-89.46707157697715 43.03761141158994),0:0:00,0.004748874431033786,0.0030231475830078125,0.00554347038269043
POINT (-89.46439409393791 43.05718032552918),0:0:00,0.004967504268069919,0.003023386001586914,0.005660295486450195
POINT (-89.42423744883718 43.0658332536304),0:0:00,0.004877143626590427,0.0030095577239990234,0.0056269168853759766
POINT (-89.40136555889757 43.07497729569318),0:0:00,0.004730277781863864,0.003009319305419922,0.006018877029418945
POINT (-89.39355819875541 43.07193520699013),0:0:00,0.005241208796878513,0.003139495849609375,0.00597381591796875
POINT (-89.39170244362401 43.07813211475199),0:0:00,0.00541477752246445,0.003004312515258789,0.005968332290649414
POINT (-89.38498094212332 43.07157513303145),0:0:00,0.005280309443851169,0.0029914379119873047,0.006165742874145508
POINT (-89.37986734587871 43.07423801282018),0:0:00,0.005147987132449802,0.003042459487915039,0.0057637691497802734
POINT (-89.3659455503427 43.09628683679591),0:0:00,0.005177074199100192,0.0029931068420410156,0.005942583084106445
POINT (-89.36849196981703 43.1447167157741),0:0:00,0.0051301057390171845,0.003003835678100586,0.0060329437255859375
POINT (-89.36338126168488 43.08590934130827),0:0:00,0.005116039042850192,0.0031900405883789062,0.0062139034271240234
POINT (-89.35976795816323 43.12559878463286),0:0:00,0.005267673259158786,0.002997159957885742,0.006193876266479492
